GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Maven Plugin,network.ike.plugin,DashboardWorkspaceMojo,50,307,9,21,8,64,8,9,0,2
IKE Maven Plugin,network.ike.plugin,StignoreWorkspaceMojo,9,271,1,3,2,35,1,8,0,7
IKE Maven Plugin,network.ike.plugin,InitWorkspaceMojo,100,189,4,12,10,39,5,7,1,3
IKE Maven Plugin,network.ike.plugin,FeatureStartMojo,107,338,12,24,24,66,11,10,0,3
IKE Maven Plugin,network.ike.plugin,GenerateBomMojo,135,240,7,17,27,44,10,9,5,2
IKE Maven Plugin,network.ike.plugin,ScanRendererLogsMojo,18,184,4,18,5,45,4,14,0,7
IKE Maven Plugin,network.ike.plugin,ReleaseFromFeatureMojo,12,0,0,0,4,0,2,0,2,0
IKE Maven Plugin,network.ike.plugin,PatchDocbookMojo,18,88,2,4,4,21,2,6,0,5
IKE Maven Plugin,network.ike.plugin,PullWorkspaceMojo,145,0,10,0,35,0,7,0,2,0
IKE Maven Plugin,network.ike.plugin,AbstractWorkspaceMojo,76,103,14,4,23,13,9,8,0,8
IKE Maven Plugin,network.ike.plugin,StatusWorkspaceMojo,30,211,5,11,3,38,5,5,0,2
IKE Maven Plugin,network.ike.plugin,WsReleaseMojo.ReleaseCandidate,0,18,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin,ComponentSnapshot,0,27,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin,MergeToMainMojo,24,0,0,0,7,0,2,0,2,0
IKE Maven Plugin,network.ike.plugin,CleanSiteMojo,150,0,18,0,33,0,12,0,2,0
IKE Maven Plugin,network.ike.plugin,BomEntry,0,21,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin,ReleaseSupport,379,718,19,43,84,148,16,47,5,27
IKE Maven Plugin,network.ike.plugin,VerifyWorkspaceMojo,33,68,3,1,7,17,2,2,0,2
IKE Maven Plugin,network.ike.plugin,FixSvgMojo,23,75,2,6,6,21,2,6,0,4
IKE Maven Plugin,network.ike.plugin,GraphWorkspaceMojo,0,379,0,30,0,74,0,24,0,7
IKE Maven Plugin,network.ike.plugin,ReleaseMojo,398,725,23,17,50,102,17,6,0,3
IKE Maven Plugin,network.ike.plugin,CheckpointMojo,594,0,22,0,89,0,14,0,3,0
IKE Maven Plugin,network.ike.plugin,CopyDocsToSiteMojo,14,122,2,8,3,28,2,8,0,5
IKE Maven Plugin,network.ike.plugin,DeploySiteMojo,310,5,30,0,63,1,18,1,2,1
IKE Maven Plugin,network.ike.plugin,FeatureFinishMojo,145,463,19,27,29,89,17,10,0,4
IKE Maven Plugin,network.ike.plugin,CascadeWorkspaceMojo,2,193,3,9,0,34,3,5,0,2
IKE Maven Plugin,network.ike.plugin,ReleaseSupport.LabeledTask,9,0,0,0,1,0,1,0,1,0
IKE Maven Plugin,network.ike.plugin,WsReleaseMojo,522,448,30,34,98,84,24,23,4,11
IKE Maven Plugin,network.ike.plugin,WorkspaceMojo,48,0,0,0,13,0,2,0,2,0
IKE Maven Plugin,network.ike.plugin,InjectBreadcrumbMojo,19,101,2,10,3,24,2,8,0,4
IKE Maven Plugin,network.ike.plugin,WsCheckpointMojo,70,518,8,28,16,105,8,20,0,10
IKE Maven Plugin,network.ike.plugin,IkeHelpMojo,0,332,0,0,0,84,0,2,0,2
